Variable,Measure,Country,Year,Value
Preventable mortality,Deaths per 100 000 population (standardised rates),Estonia,2010,265
Preventable mortality,Deaths per 100 000 population (standardised rates),Estonia,2011,256
Preventable mortality,Deaths per 100 000 population (standardised rates),Estonia,2012,257
Preventable mortality,Deaths per 100 000 population (standardised rates),Estonia,2013,230
Preventable mortality,Deaths per 100 000 population (standardised rates),Estonia,2014,234
Preventable mortality,Deaths per 100 000 population (standardised rates),Estonia,2015,215
Preventable mortality,Deaths per 100 000 population (standardised rates),Estonia,2016,211
Preventable mortality,Deaths per 100 000 population (standardised rates),Estonia,2017,206
Preventable mortality,Deaths per 100 000 population (standardised rates),Estonia,2018,211
Preventable mortality,Deaths per 100 000 population (standardised rates),Estonia,2019,195
Preventable mortality,Deaths per 100 000 population (standardised rates),Estonia,2020,217
Preventable mortality,Deaths per 100 000 population (standardised rates),Australia,2010,110
Preventable mortality,Deaths per 100 000 population (standardised rates),Australia,2011,109
Preventable mortality,Deaths per 100 000 population (standardised rates),Australia,2012,105
Preventable mortality,Deaths per 100 000 population (standardised rates),Australia,2013,105
Preventable mortality,Deaths per 100 000 population (standardised rates),Australia,2014,107
Preventable mortality,Deaths per 100 000 population (standardised rates),Australia,2015,108
Preventable mortality,Deaths per 100 000 population (standardised rates),Australia,2016,103
Preventable mortality,Deaths per 100 000 population (standardised rates),Australia,2017,103
Preventable mortality,Deaths per 100 000 population (standardised rates),Australia,2018,101
Preventable mortality,Deaths per 100 000 population (standardised rates),Australia,2019,104
Preventable mortality,Deaths per 100 000 population (standardised rates),Australia,2020,96
Preventable mortality,Deaths per 100 000 population (standardised rates),Mexico,2010,237
Preventable mortality,Deaths per 100 000 population (standardised rates),Mexico,2011,231
Preventable mortality,Deaths per 100 000 population (standardised rates),Mexico,2012,225
Preventable mortality,Deaths per 100 000 population (standardised rates),Mexico,2013,217
Preventable mortality,Deaths per 100 000 population (standardised rates),Mexico,2014,216
Preventable mortality,Deaths per 100 000 population (standardised rates),Mexico,2015,216
Preventable mortality,Deaths per 100 000 population (standardised rates),Mexico,2016,225
Preventable mortality,Deaths per 100 000 population (standardised rates),Mexico,2017,225
Preventable mortality,Deaths per 100 000 population (standardised rates),Mexico,2018,220
Preventable mortality,Deaths per 100 000 population (standardised rates),Mexico,2019,220
Preventable mortality,Deaths per 100 000 population (standardised rates),Mexico,2020,435
Preventable mortality,Deaths per 100 000 population (standardised rates),Latvia,2010,329
Preventable mortality,Deaths per 100 000 population (standardised rates),Latvia,2011,311
Preventable mortality,Deaths per 100 000 population (standardised rates),Latvia,2012,307
Preventable mortality,Deaths per 100 000 population (standardised rates),Latvia,2013,302
Preventable mortality,Deaths per 100 000 population (standardised rates),Latvia,2014,293
Preventable mortality,Deaths per 100 000 population (standardised rates),Latvia,2015,286
Preventable mortality,Deaths per 100 000 population (standardised rates),Latvia,2016,277
Preventable mortality,Deaths per 100 000 population (standardised rates),Latvia,2017,273
Preventable mortality,Deaths per 100 000 population (standardised rates),Latvia,2018,272
Preventable mortality,Deaths per 100 000 population (standardised rates),Latvia,2019,248
Preventable mortality,Deaths per 100 000 population (standardised rates),Latvia,2020,262
Preventable mortality,Deaths per 100 000 population (standardised rates),Austria,2010,144
Preventable mortality,Deaths per 100 000 population (standardised rates),Austria,2011,140
Preventable mortality,Deaths per 100 000 population (standardised rates),Austria,2012,140
Preventable mortality,Deaths per 100 000 population (standardised rates),Austria,2013,136
Preventable mortality,Deaths per 100 000 population (standardised rates),Austria,2014,134
Preventable mortality,Deaths per 100 000 population (standardised rates),Austria,2015,137
Preventable mortality,Deaths per 100 000 population (standardised rates),Austria,2016,132
Preventable mortality,Deaths per 100 000 population (standardised rates),Austria,2017,128
Preventable mortality,Deaths per 100 000 population (standardised rates),Austria,2018,128
Preventable mortality,Deaths per 100 000 population (standardised rates),Austria,2019,124
Preventable mortality,Deaths per 100 000 population (standardised rates),Austria,2020,134
Preventable mortality,Deaths per 100 000 population (standardised rates),Lithuania,2010,340
Preventable mortality,Deaths per 100 000 population (standardised rates),Lithuania,2011,325
Preventable mortality,Deaths per 100 000 population (standardised rates),Lithuania,2012,318
Preventable mortality,Deaths per 100 000 population (standardised rates),Lithuania,2013,312
Preventable mortality,Deaths per 100 000 population (standardised rates),Lithuania,2014,295
Preventable mortality,Deaths per 100 000 population (standardised rates),Lithuania,2015,293
Preventable mortality,Deaths per 100 000 population (standardised rates),Lithuania,2016,285
Preventable mortality,Deaths per 100 000 population (standardised rates),Lithuania,2017,260
Preventable mortality,Deaths per 100 000 population (standardised rates),Lithuania,2018,247
Preventable mortality,Deaths per 100 000 population (standardised rates),Lithuania,2019,241
Preventable mortality,Deaths per 100 000 population (standardised rates),Lithuania,2020,285
Preventable mortality,Deaths per 100 000 population (standardised rates),Israel,2010,94
Preventable mortality,Deaths per 100 000 population (standardised rates),Israel,2011,91
Preventable mortality,Deaths per 100 000 population (standardised rates),Israel,2012,87
Preventable mortality,Deaths per 100 000 population (standardised rates),Israel,2013,84
Preventable mortality,Deaths per 100 000 population (standardised rates),Israel,2014,82
Preventable mortality,Deaths per 100 000 population (standardised rates),Israel,2015,82
Preventable mortality,Deaths per 100 000 population (standardised rates),Israel,2016,77
Preventable mortality,Deaths per 100 000 population (standardised rates),Israel,2017,73
Preventable mortality,Deaths per 100 000 population (standardised rates),Israel,2018,73
Preventable mortality,Deaths per 100 000 population (standardised rates),Israel,2019,72
Preventable mortality,Deaths per 100 000 population (standardised rates),Israel,2020,83
Preventable mortality,Deaths per 100 000 population (standardised rates),United States,2010,183
Preventable mortality,Deaths per 100 000 population (standardised rates),United States,2011,183
Preventable mortality,Deaths per 100 000 population (standardised rates),United States,2012,179
Preventable mortality,Deaths per 100 000 population (standardised rates),United States,2013,181
Preventable mortality,Deaths per 100 000 population (standardised rates),United States,2014,181
Preventable mortality,Deaths per 100 000 population (standardised rates),United States,2015,181
Preventable mortality,Deaths per 100 000 population (standardised rates),United States,2016,186
Preventable mortality,Deaths per 100 000 population (standardised rates),United States,2017,187
Preventable mortality,Deaths per 100 000 population (standardised rates),United States,2018,183
Preventable mortality,Deaths per 100 000 population (standardised rates),United States,2019,181
Preventable mortality,Deaths per 100 000 population (standardised rates),United States,2020,238
Preventable mortality,Deaths per 100 000 population (standardised rates),Peru,2010,111
Preventable mortality,Deaths per 100 000 population (standardised rates),Peru,2011,106
Preventable mortality,Deaths per 100 000 population (standardised rates),Peru,2012,107
Preventable mortality,Deaths per 100 000 population (standardised rates),Peru,2013,107
Preventable mortality,Deaths per 100 000 population (standardised rates),Peru,2014,101
Preventable mortality,Deaths per 100 000 population (standardised rates),Peru,2015,100
Preventable mortality,Deaths per 100 000 population (standardised rates),Peru,2016,86
Preventable mortality,Deaths per 100 000 population (standardised rates),Peru,2017,91
Preventable mortality,Deaths per 100 000 population (standardised rates),Peru,2018,105
Preventable mortality,Deaths per 100 000 population (standardised rates),Peru,2019,111
Preventable mortality,Deaths per 100 000 population (standardised rates),Peru,2020,405
